,mass_wrt_earth,radius_wrt_earth,planet_type
426,178.08,11.737,Gas Giant
427,222.6,14.146,Gas Giant
428,55.013999999999996,9.933,Gas Giant
429,117.342,12.286999999999999,Gas Giant
430,77.274,8.8,Gas Giant
431,112.25399999999999,8.415000000000001,Gas Giant
432,420.714,11.22,Gas Giant
433,124.02000000000001,12.43,Gas Giant
434,244.22400000000002,15.51,Gas Giant
435,712.32,15.201999999999998,Gas Giant
436,189.20999999999998,14.74,Gas Giant
437,239.454,11.165,Gas Giant
438,292.878,13.761,Gas Giant
439,191.436,18.567999999999998,Gas Giant
440,1000.746,12.529,Gas Giant
441,327.54,12.045,Gas Giant
442,256.308,12.386,Gas Giant
443,4038.6,12.100000000000001,Gas Giant
444,75.366,10.032,Gas Giant
445,210.51600000000002,12.683,Gas Giant
446,1081.2,13.145000000000001,Gas Giant
447,56.922,11.604999999999999,Gas Giant
448,305.28,13.277000000000001,Gas Giant
449,305.28,18.469,Gas Giant
450,261.078,16.511,Gas Giant
451,1694.94,15.521,Gas Giant
452,461.09999999999997,18.535,Gas Giant
453,410.22,13.552,Gas Giant
454,183.486,10.395,Gas Giant
455,101.44200000000001,10.978,Gas Giant
456,4102.2,15.223999999999998,Gas Giant
457,117.66,11.264,Gas Giant
458,39.85588,7.942,Gas Giant
459,464.28,11.352,Gas Giant
460,156.138,9.724,Gas Giant
461,836.022,11.869,Gas Giant
462,436.932,12.815000000000001,Gas Giant
463,38.1396,6.193,Gas Giant
464,43.884,9.603,Gas Giant
465,266.166,13.596,Gas Giant
466,239136.0,75.9,Gas Giant
467,511.98,13.309999999999999,Gas Giant
468,327.54,13.53,Gas Giant
469,13.1,3.608,Neptune-like
470,11.75,3.388,Neptune-like
471,25.1,5.2909999999999995,Neptune-like
472,23.9,5.148000000000001,Neptune-like
473,21.4,4.818,Neptune-like
474,64.554,9.218,Gas Giant
475,79.5,10.439,Gas Giant
476,54.06,8.316,Gas Giant
477,130.38,13.97,Gas Giant
478,1570.92,12.649999999999999,Gas Giant
479,2594.88,12.32,Gas Giant
480,483.36,13.309999999999999,Gas Giant
481,16.0,4.059,Neptune-like
482,113.96166000000001,12.87,Gas Giant
483,305.28,13.53,Gas Giant
484,28.6047,5.720000000000001,Neptune-like
485,197.16,13.86,Gas Giant
486,116.706,13.09,Gas Giant
487,457.91999999999996,13.309999999999999,Gas Giant
488,11.2,3.2889999999999997,Neptune-like
489,50.88,8.019,Gas Giant
490,472.86600000000004,13.309999999999999,Gas Giant
491,2639.4,12.32,Gas Giant
492,25.14472,5.302,Neptune-like
493,8554.88688,11.770000000000001,Gas Giant
494,203.52,13.86,Gas Giant
495,3180.0,12.21,Gas Giant
496,3221.34,12.21,Gas Giant
497,12.6,2.398,Super Earth
498,15.2,4.268,Neptune-like
499,298.91999999999996,13.53,Gas Giant
500,3520.8642,12.21,Gas Giant
501,3498.0,12.21,Gas Giant
502,1915.62246,12.54,Gas Giant
503,66.78,9.416,Gas Giant
504,19.89606,4.62,Neptune-like
505,82.998,10.703,Gas Giant
506,3.24,1.615,Super Earth
507,4.94,2.071,Super Earth
508,6.98,2.497,Neptune-like
509,9.71,3.0250000000000004,Neptune-like
510,4.72,2.017,Super Earth
511,1113.0,12.87,Gas Giant
512,767.652,12.979999999999999,Gas Giant
513,451.56,13.309999999999999,Gas Giant
514,314.82,13.53,Gas Giant
515,273.48,13.64,Gas Giant
516,17.162,4.235,Neptune-like
517,24.154,5.17,Neptune-like
518,950.82,12.87,Gas Giant
519,85.86,10.923,Gas Giant
520,143.1,14.08,Gas Giant
521,8.69,2.838,Neptune-like
522,7.22,2.541,Neptune-like
523,6729.02628,11.88,Gas Giant
524,3526.62,12.21,Gas Giant
525,10.3,3.135,Neptune-like
526,4.55,2.05,Neptune-like
527,10.5,3.1679999999999997,Neptune-like
528,8649.45372,11.66,Gas Giant
529,2429.79666,12.43,Gas Giant
530,2628.2191199999997,12.32,Gas Giant
531,6088.8414,11.88,Gas Giant
532,1399.2,12.649999999999999,Gas Giant
533,1434.1799999999998,12.649999999999999,Gas Giant
534,1590.0,12.649999999999999,Gas Giant
535,1032.5650799999999,12.87,Gas Giant
536,6272.35284,11.88,Gas Giant
537,253.52867999999998,13.64,Gas Giant
538,114.47999999999999,12.979999999999999,Gas Giant
539,295.74,13.64,Gas Giant
540,2003.3999999999999,12.54,Gas Giant
541,2544.0,11.0,Gas Giant
542,362.52,13.42,Gas Giant
543,113.526,12.87,Gas Giant
544,262.34999999999997,13.64,Gas Giant
545,349.8,13.53,Gas Giant
546,194.298,13.86,Gas Giant
547,2651.01336,12.32,Gas Giant
548,1717.7501399999999,12.54,Gas Giant
549,115.911,12.979999999999999,Gas Giant
550,2448.15798,12.43,Gas Giant
551,30.03873,5.885000000000001,Neptune-like
552,3301.3647,12.21,Gas Giant
553,2636.22,12.32,Gas Giant
554,445.2,13.309999999999999,Gas Giant
555,403.86,13.42,Gas Giant
556,612.468,13.2,Gas Giant
557,1790.34,12.54,Gas Giant
558,55.331999999999994,8.426,Gas Giant
559,887.22,12.892,Gas Giant
560,197.796,13.86,Gas Giant
561,25.0,5.279999999999999,Neptune-like
562,2079.72,12.43,Gas Giant
563,2440.75812,12.43,Gas Giant
564,480.18,13.309999999999999,Gas Giant
565,10.33369,3.135,Neptune-like
566,3173.21706,12.21,Gas Giant
567,72.88878,9.911,Gas Giant
568,238.5,13.75,Gas Giant
569,947.64,12.87,Gas Giant
570,3516.0433199999998,12.21,Gas Giant
571,9170.45538,11.66,Gas Giant
572,6.3566,2.354,Neptune-like
573,944.7843600000001,12.87,Gas Giant
574,15.17685,3.9379999999999997,Neptune-like
575,2353.6611,12.43,Gas Giant
576,623.28,13.2,Gas Giant
577,75.366,10.109,Gas Giant
578,120.0291,13.309999999999999,Gas Giant
579,772.74,12.979999999999999,Gas Giant
580,576.216,13.2,Gas Giant
581,26.61699,5.478,Neptune-like
582,562.5419999999999,13.2,Gas Giant
583,1204.902,12.76,Gas Giant
584,283.02,13.64,Gas Giant
585,508.8,13.309999999999999,Gas Giant
586,365.7,13.42,Gas Giant
587,572.4,13.2,Gas Giant
588,1052.58,12.87,Gas Giant
589,3482.1,12.21,Gas Giant
590,1710.84,12.54,Gas Giant
591,473.82,13.309999999999999,Gas Giant
592,451.56,13.309999999999999,Gas Giant
593,133.56,14.08,Gas Giant
594,795.0,12.979999999999999,Gas Giant
595,10.1,3.102,Neptune-like
596,29.29,5.797000000000001,Neptune-like
597,511.98,13.309999999999999,Gas Giant
598,260.76,13.64,Gas Giant
599,1881.63144,12.54,Gas Giant
600,4177.0254,12.100000000000001,Gas Giant
601,4.72,1.664,Super Earth
602,11.24,2.8600000000000003,Neptune-like
603,8.82,2.519,Neptune-like
604,680.5200000000001,13.09,Gas Giant
605,267.12,13.64,Gas Giant
606,51.28386,8.063,Gas Giant
607,63.6,9.152,Gas Giant
608,4.04,1.31,Super Earth
609,2435.88,12.43,Gas Giant
610,11.2,3.2889999999999997,Neptune-like
611,9.96,3.0690000000000004,Neptune-like
612,275.07,13.64,Gas Giant
613,1631.34,12.649999999999999,Gas Giant
614,699.6,13.09,Gas Giant
615,6318.93666,11.88,Gas Giant
616,131.97,11.286,Gas Giant
617,5004.4773,11.99,Gas Giant
618,14.64775,3.8499999999999996,Neptune-like
619,1686.23952,12.54,Gas Giant
620,13.63484,3.696,Neptune-like
621,143.418,14.08,Gas Giant
622,422.94,13.42,Gas Giant
623,375.23999999999995,13.42,Gas Giant
624,209.88000000000002,13.75,Gas Giant
625,3081.4199999999996,12.21,Gas Giant
626,1411.92,12.649999999999999,Gas Giant
627,976.26,12.87,Gas Giant
628,531.06,13.2,Gas Giant
629,81.67194,10.604,Gas Giant
630,395.73192,13.42,Gas Giant
631,3523.23966,12.21,Gas Giant
632,384.78,13.42,Gas Giant
633,1123.176,12.76,Gas Giant
634,20.42286,4.686,Neptune-like
635,1914.36,12.54,Gas Giant
636,709.14,13.09,Gas Giant
637,1583.80218,12.649999999999999,Gas Giant
638,763.0092,12.979999999999999,Gas Giant
639,6.44,2.376,Neptune-like
640,5.59,2.23,Neptune-like
641,674.1600000000001,13.09,Gas Giant
642,2086.08,12.43,Gas Giant
643,28.55,5.7090000000000005,Neptune-like
644,384.78,13.42,Gas Giant
645,1634.52,12.649999999999999,Gas Giant
646,731.4,13.09,Gas Giant
647,356.478,13.53,Gas Giant
648,270.3,13.64,Gas Giant
649,391.14,13.42,Gas Giant
650,1640.88,12.649999999999999,Gas Giant
651,413.40000000000003,13.42,Gas Giant
652,120.84,8.14,Gas Giant
653,422.94,13.42,Gas Giant
654,3880.1724,12.100000000000001,Gas Giant
655,763.1999999999999,12.979999999999999,Gas Giant
656,874.5,12.979999999999999,Gas Giant
657,861.78,12.979999999999999,Gas Giant
658,37.24604,6.677,Neptune-like
659,1634.99064,12.649999999999999,Gas Giant
660,846.198,12.979999999999999,Gas Giant
661,594.342,13.2,Gas Giant
662,11.56,3.344,Neptune-like
663,27.5,5.720000000000001,Neptune-like
664,7.51,1.64,Super Earth
665,8.11,2.343,Super Earth
666,20.05856,4.6419999999999995,Neptune-like
667,17.30766,4.257,Neptune-like
668,8685.1683,11.66,Gas Giant
669,938.1,12.87,Gas Giant
670,6.6,2.409,Neptune-like
671,260.76,13.64,Gas Giant
672,1707.66,12.54,Gas Giant
673,779.1,12.979999999999999,Gas Giant
674,820.44,12.979999999999999,Gas Giant
675,238.5,13.75,Gas Giant
676,826.8000000000001,12.979999999999999,Gas Giant
677,314.82,13.53,Gas Giant
678,260.76,13.64,Gas Giant
679,7.50192,2.596,Neptune-like
680,1850.8554,12.54,Gas Giant
681,17.14419,4.224,Neptune-like
682,1662.4022400000001,12.54,Gas Giant
683,2996.84154,12.32,Gas Giant
684,3208.7440199999996,12.21,Gas Giant
685,235.32,13.75,Gas Giant
686,4.15,1.87,Super Earth
687,31.4968,6.050000000000001,Neptune-like
688,3393.06,12.21,Gas Giant
689,486.54,13.309999999999999,Gas Giant
690,2.22,1.292,Super Earth
691,5.6,2.23,Neptune-like
692,5.41,2.18,Neptune-like
693,6.08,2.299,Neptune-like
694,6.14,2.31,Neptune-like
695,4452.0,12.100000000000001,Gas Giant
696,359.34,13.42,Gas Giant
697,604.1999999999999,13.2,Gas Giant
698,705.324,13.09,Gas Giant
699,244.22400000000002,13.75,Gas Giant
700,297.012,13.53,Gas Giant
701,1151.16,12.76,Gas Giant
704,10.17,3.1129999999999995,Neptune-like
706,181.26,13.86,Gas Giant
707,82.68,10.681,Gas Giant
708,1621.8,12.649999999999999,Gas Giant
709,3129.12,12.21,Gas Giant
710,249.1848,13.64,Gas Giant
711,699.918,13.09,Gas Giant
712,22.1,4.906,Neptune-like
713,140.874,14.08,Gas Giant
714,16.14,4.0809999999999995,Neptune-like
715,635.33856,13.09,Gas Giant
716,116.06046,13.09,Gas Giant
717,13.0,3.597,Neptune-like
718,4.0,1.83,Super Earth
719,10.52012,3.1679999999999997,Neptune-like
720,919.0200000000001,12.979999999999999,Gas Giant
721,2044.74,12.43,Gas Giant
722,1122.54,12.76,Gas Giant
723,540.6,13.2,Gas Giant
724,270.3,13.64,Gas Giant
725,9.53485,2.992,Neptune-like
726,2424.1458,12.43,Gas Giant
727,5736.53238,11.88,Gas Giant
728,85.86,10.923,Gas Giant
729,2147.48898,12.43,Gas Giant
730,2887.00752,12.32,Gas Giant
731,2795.22,12.32,Gas Giant
732,804.01212,12.979999999999999,Gas Giant
733,2261.08494,12.43,Gas Giant
734,209.88000000000002,13.75,Gas Giant
735,3221.34,12.21,Gas Giant
736,833.1600000000001,12.979999999999999,Gas Giant
737,2798.4,12.32,Gas Giant
738,1116.1799999999998,12.100000000000001,Gas Giant
739,858.6,12.979999999999999,Gas Giant
740,1335.6000000000001,12.76,Gas Giant
741,2162.7974999999997,12.43,Gas Giant
742,190.164,13.86,Gas Giant
743,8.98,2.8930000000000002,Neptune-like
744,276.66,13.64,Gas Giant
