,distance,stellar_magnitude,mass_wrt_earth,radius_wrt_earth,orbital_radius,orbital_period,star_mass,planet_type
206,12.0,8.09,36.0,6.545,5.4,20.8,1819723479003.274,Neptune-like
207,84.0,9.7,10.2,3.1129999999999995,0.053,0.014236824,3.88423803091943e+18,Neptune-like
208,49.0,11.79,10.6,3.19,0.0607,0.023545519,1.4200889005123587e+18,Neptune-like
209,49.0,11.79,6.8,2.453,0.1254,0.07008898,1.6026274938033254e+17,Neptune-like
210,49.0,11.79,29.4,5.808,1.0304,1.7,272417012441514.47,Neptune-like
211,40.0,11.963,260.76,13.64,2.41,6.3,19835857040966.91,Gas Giant
212,39.0,10.914,6.49,2.387,0.092,0.04681725,3.591867175292919e+17,Neptune-like
213,39.0,10.914,6.4,2.3649999999999998,0.129,0.06652977,1.7786890212208605e+17,Neptune-like
214,39.0,10.914,7.56,2.6069999999999998,0.309,0.29103354,9294927031111970.0,Neptune-like
215,121.0,6.20902,4.59248,1.98,0.034411,0.006570842,1.3699728618551124e+16,Super Earth
216,121.0,6.20902,4070.0438400000003,12.100000000000001,16.763449,70.0,160670442031.83194,Gas Giant
217,93.0,10.37,16.2,4.092,0.283,0.19164956,2.1434650941034948e+16,Neptune-like
218,19.0,8.15,8.57613,2.816,0.384214,0.33374402,7068139021641761.0,Neptune-like
219,19.0,8.15,14.85045,3.883,1.086215,1.6,307533267951553.3,Neptune-like
220,18.0,9.89,4.0,1.83,0.0818,0.03887748,391343207127380.2,Super Earth
221,77.0,11.45,13.0,3.597,0.101,0.04325804,4.2072507136302835e+17,Neptune-like
222,19.0,9.84,2.89,1.51,0.091101,0.050924025,228091219772304.25,Super Earth
223,19.0,9.84,1.18,1.06,0.036467,0.012867898,3572224902014218.0,Super Earth
224,57.0,6.59,1071.66,12.87,0.49,0.36605063,5875566570976962.0,Gas Giant
225,54.0,11.041,8.2,2.739,0.079,0.032580424,7.416834782004928e+17,Neptune-like
226,73.0,11.403,3.34,2.13,0.03165,0.007939767,9382930454821588.0,Neptune-like
227,93.0,10.8275,1.78,1.18,0.0197,0.003285421,5.47989144742045e+16,Super Earth
228,93.0,10.8275,4.18,1.88,0.057,0.016427105,2191956578968180.0,Super Earth
229,93.0,10.8275,10.5,3.1679999999999997,0.698,0.7058179,1580326170730900.8,Neptune-like
230,50.0,12.4,795.0,12.979999999999999,1.151,1.9,218084533505810.72,Gas Giant
231,50.0,12.4,522.77928,13.2,5.23,18.5,2300321887380.501,Gas Giant
232,59.0,6.9,11.73969,3.388,0.091179,0.029295003,9.173709320533704e+17,Neptune-like
233,67.0,9.99,731.4,13.09,4.5,11.2,6276189141868.437,Gas Giant
234,66.0,11.945,23.54,5.093,0.14339,0.08377823,1.121681887608923e+17,Neptune-like
235,66.0,11.945,21.09,4.774,0.36175,0.33566052,6987656414955997.0,Neptune-like
236,66.0,11.945,7.6,2.618,0.19394,0.13169062,4.539650137501983e+16,Neptune-like
237,66.0,11.945,3.28,1.63,0.08208,0.036413416,446098915733127.5,Super Earth
238,18.0,12.57,2.02,1.23,0.03282,0.014784395,2706119050255163.5,Super Earth
239,18.0,12.57,2.31,1.32,0.1264,0.11088296,48108785284997.07,Super Earth
240,77.0,12.062,6.6,2.409,0.089,0.03887748,5.2087780868654304e+17,Neptune-like
241,21.0,7.7,10.6,3.19,0.142,0.06680356,1.7641392180526906e+17,Neptune-like
242,96.0,12.332,13.9,4.4879999999999995,0.0355,0.009034907,9.644610548684448e+18,Neptune-like
243,89.0,13.74,1.86,1.264,0.01589,0.003285421,5.47989144742045e+16,Super Earth
244,89.0,13.74,7.41,2.585,0.0876,0.042436685,4.371688069727443e+17,Neptune-like
245,31.0,15.18,146.28,13.97,0.337,0.5577002,2531223349706295.0,Gas Giant
246,31.0,15.18,63.6,9.152,1.292,4.4,40665556092767.375,Gas Giant
247,31.0,10.91,1.84,1.217,0.035,0.010677618,5188063151741455.0,Super Earth
248,31.0,10.91,3.4,1.66,0.061,0.024914443,952909481988575.1,Super Earth
249,31.0,10.91,6.1,2.299,0.204,0.15249829,3.3853386598904228e+16,Neptune-like
250,66.0,11.938,8.4,2.783,0.0287,0.007118412,1.553695212367772e+19,Neptune-like
